id;Category;Parent;Get
2909;Винты;;1
2951;Крепеж гребных винтов;2909;1
2959;Honda;2909;1
3297;BF135-250;2959;1
3102;BF2;2959;1
3099;BF5;2959;1
3097;BF8-20;2959;1
3101;BF25-30;2959;1
3100;BF35-60;2959;1
3098;BF75-130;2959;1
2958;Johnson/Evinrude/OMC;2909;1
2957;Mercury USA;2909;1
3094;6-15 л.с.;2957;1
3095;25-70 л.с.;2957;1
3096;135-300 л.с;2957;1
2956;Michigan;2909;1
3093;APOLLO;2956;1
3092;BALLISTIC;2956;1
3091;VORTEX;2956;1
2955;Suzuki;2909;1
3296;DF300B, DF325-350;2955;1
3089;DF2.5;2955;1
3086;DF4-6(A);2955;1
3084;DF8-20(A) / DT9.9-15(A);2955;1
3088;DF25-30(A) / DT20-30(A);2955;1
3087;DF40-50/40-60A / DT40-65;2955;1
3085;DF60-70 / DT75-140 (13шлиц.);2955;1
3083;DF90-140/70-140A;2955;1
3090;DF150-300;2955;1
2954;Tohatsu\Mercury (Japan);2909;1
3081;2.5-3.5 л.с.;2954;1
3079;4-6 л.с.;2954;1
3077;8-9.8 л.с.;2954;1
3076;9.9-18 л.с.;2954;1
3082;25-30 л.с.;2954;1
3080;40-50 л.с.;2954;1
3078;60-140 л.с.;2954;1
2953;Yamaha;2909;1
3074;2;2953;1
3072;3 / F2-2.5;2953;1
3069;4-5 / F4-6;2953;1
3068;5-8D Enduro (шпон.);2953;1
3066;6-8 / F6-9.9 (7шлиц.);2953;1
3064;9,9-15 (шпон.);2953;1
3065;9.9-15 / F9.9-20 (8шлиц.);2953;1
3073;25-30 / F25-30;2953;1
3071;40-55 / F30-60;2953;1
3070;40 (шпон.);2953;1
3067;60-140 / F70-130;2953;1
3075;150-300/F150-275/F300B;2953;1
2952;Втулки винта;2909;1
2950;Угловые колонки;2909;1
3140;MERCRUISER;2950;1
3143;BRAVO THREE;3140;1
3142;BRAVO TWO (19шлиц);3140;1
3141;BRAVO ONE/ ALPHA ONE (15шлиц);3140;1
3139;VOLVO;2950;1
3145;Penta;3139;1
3144;SX;3139;1
2908;Запчасти;;1
3266;Квадроциклы;2908;1
3349;Прокладки ДВС, уплотнения, сальники;3266;1
3350;Ремкомплекты двигателя;3349;1
3346;Запчасти рулевой системы;3266;1
3359;Рулевые механизмы, детали;3346;1
3347;Моторчики электроусилителя руля;3346;1
3344;Запчасти масляной системы;3266;1
3345;Масляные насосы;3344;1
3342;Запчасти ГРМ;3266;1
3363;Цепи, детали;3342;1
3357;Распредвалы;3342;1
3351;Натяжители цепи;3342;1
3343;Маслосъемные колпачки;3342;1
3339;Запчасти выхлопной системы;3266;1
